Bandit,Reward,Algorithm
2,3.9380613067126484,EpsilonGreedy
2,1.621621883543663,EpsilonGreedy
2,2.585651967943814,EpsilonGreedy
2,3.548692635504568,EpsilonGreedy
2,2.8902846657158,EpsilonGreedy
2,3.4621342288014136,EpsilonGreedy
2,3.919002279407719,EpsilonGreedy
2,4.123713662142549,EpsilonGreedy
2,2.580835093564698,EpsilonGreedy
2,1.4736565040361052,EpsilonGreedy
2,4.217875732268507,EpsilonGreedy
2,2.5430722614354537,EpsilonGreedy
2,2.849345642177826,EpsilonGreedy
2,2.08620327371262,EpsilonGreedy
2,2.5403340381389206,EpsilonGreedy
2,2.621370438827058,EpsilonGreedy
2,2.62268933475421,EpsilonGreedy
2,2.7222318698966594,EpsilonGreedy
2,2.1955767730242997,EpsilonGreedy
2,3.478062064002973,EpsilonGreedy
2,3.496059203029094,EpsilonGreedy
2,4.721793264747711,EpsilonGreedy
2,3.533355203943154,EpsilonGreedy
2,4.4505630388380695,EpsilonGreedy
2,4.309034787390358,EpsilonGreedy
2,1.5895465736207006,EpsilonGreedy
2,4.226091352919427,EpsilonGreedy
2,2.177878459571186,EpsilonGreedy
2,1.7768761723615574,EpsilonGreedy
2,3.2990198938382127,EpsilonGreedy
2,1.9515590763175605,EpsilonGreedy
2,2.459245453970674,EpsilonGreedy
2,3.727796267470761,EpsilonGreedy
2,3.2303624404501976,EpsilonGreedy
2,0.8753504107726622,EpsilonGreedy
2,3.7658848557189675,EpsilonGreedy
2,4.071478653253742,EpsilonGreedy
2,2.8645065683789386,EpsilonGreedy
2,2.734760332020449,EpsilonGreedy
2,4.422539140219799,EpsilonGreedy
2,2.3740647417522465,EpsilonGreedy
2,4.277174631462508,EpsilonGreedy
2,4.08923988484287,EpsilonGreedy
2,1.595506861075734,EpsilonGreedy
2,2.559888121710111,EpsilonGreedy
2,2.2925106166079754,EpsilonGreedy
2,2.4632825331017876,EpsilonGreedy
2,3.579707514007352,EpsilonGreedy
2,3.8027487184348305,EpsilonGreedy
2,2.023450075353383,EpsilonGreedy
2,4.904268660884083,EpsilonGreedy
2,3.6290371887356905,EpsilonGreedy
2,2.8524347340234337,EpsilonGreedy
2,3.0517646824135176,EpsilonGreedy
2,3.314494237389342,EpsilonGreedy
2,4.557282613474457,EpsilonGreedy
2,2.8656414632263396,EpsilonGreedy
2,2.2455930289962764,EpsilonGreedy
2,2.8100080518472472,EpsilonGreedy
2,2.333694154632216,EpsilonGreedy
2,4.416615760708808,EpsilonGreedy
2,2.096300371009691,EpsilonGreedy
2,3.7824418320663815,EpsilonGreedy
2,2.743291215013555,EpsilonGreedy
2,1.38529480025068,EpsilonGreedy
2,3.8374409554428284,EpsilonGreedy
2,4.296676189750567,EpsilonGreedy
2,1.5337625127067933,EpsilonGreedy
2,1.8617821467622444,EpsilonGreedy
2,1.3126734563403133,EpsilonGreedy
2,2.679018989404832,EpsilonGreedy
2,4.316946929123771,EpsilonGreedy
2,4.446912394644971,EpsilonGreedy
2,3.3861344009124696,EpsilonGreedy
2,1.9652137097469167,EpsilonGreedy
2,3.004405408675026,EpsilonGreedy
2,3.9907841307876932,EpsilonGreedy
2,4.021111026655918,EpsilonGreedy
2,2.6115452408227107,EpsilonGreedy
2,2.5693414878670655,EpsilonGreedy
2,3.180864130952834,EpsilonGreedy
2,3.5914233529140054,EpsilonGreedy
2,2.2799300817355643,EpsilonGreedy
2,5.11915695352905,EpsilonGreedy
2,2.0750328953219572,EpsilonGreedy
2,3.2262692982877494,EpsilonGreedy
2,2.4779174676789695,EpsilonGreedy
2,1.9098432992456684,EpsilonGreedy
2,3.27984483621272,EpsilonGreedy
2,2.036807730473115,EpsilonGreedy
2,2.6405878899363,EpsilonGreedy
2,4.604816958151579,EpsilonGreedy
2,2.5560072376980236,EpsilonGreedy
2,3.36510989640987,EpsilonGreedy
2,4.241342882337561,EpsilonGreedy
2,4.088520052612894,EpsilonGreedy
2,1.5753042864167273,EpsilonGreedy
2,2.981956060459755,EpsilonGreedy
2,3.450615758315489,EpsilonGreedy
2,3.5789341847261937,EpsilonGreedy
2,2.172255617297827,EpsilonGreedy
2,2.4619618718116323,EpsilonGreedy
2,3.817835790298269,EpsilonGreedy
2,2.953960912332844,EpsilonGreedy
2,3.943947280979488,EpsilonGreedy
2,3.427738239650556,EpsilonGreedy
2,3.211283518926484,EpsilonGreedy
2,1.64270338814248,EpsilonGreedy
2,4.150097114499728,EpsilonGreedy
2,2.4514424606121747,EpsilonGreedy
2,3.2841645825343098,EpsilonGreedy
2,4.115522851520105,EpsilonGreedy
2,3.4193194311514814,EpsilonGreedy
2,1.199269476170714,EpsilonGreedy
2,2.5930332929559943,EpsilonGreedy
2,3.2692889449685274,EpsilonGreedy
2,3.1804151442752158,EpsilonGreedy
2,1.348642177043176,EpsilonGreedy
2,4.232786994038152,EpsilonGreedy
2,3.1827624829729673,EpsilonGreedy
2,3.3504097662729286,EpsilonGreedy
2,1.4929979513756992,EpsilonGreedy
2,4.283028630839128,EpsilonGreedy
2,4.948926389471584,EpsilonGreedy
2,2.893118297295232,EpsilonGreedy
2,2.9025340330826386,EpsilonGreedy
2,2.1139179761250597,EpsilonGreedy
2,3.4852789399749398,EpsilonGreedy
2,2.7284001905675774,EpsilonGreedy
2,2.8815173988676617,EpsilonGreedy
2,1.0573783769161527,EpsilonGreedy
