Bandit,Reward,Algorithm
3,4.247038662498163,ThompsonSampling
0,0.757940054293148,ThompsonSampling
3,3.9242248665175268,ThompsonSampling
0,0.12477138169106639,ThompsonSampling
3,3.0505831826445142,ThompsonSampling
3,4.686420786718703,ThompsonSampling
3,5.268051608150899,ThompsonSampling
3,4.854717636359314,ThompsonSampling
3,4.917163367074615,ThompsonSampling
3,3.7761520497950483,ThompsonSampling
3,4.36584382513332,ThompsonSampling
3,3.391690765305396,ThompsonSampling
2,4.527282948405972,ThompsonSampling
3,3.6802728374822684,ThompsonSampling
3,3.9366257386756924,ThompsonSampling
3,4.2873027789146025,ThompsonSampling
3,2.245151390140438,ThompsonSampling
3,2.782591113331722,ThompsonSampling
3,4.2204018838990205,ThompsonSampling
3,3.5039718484346793,ThompsonSampling
3,5.831948170784683,ThompsonSampling
2,2.7116973722882607,ThompsonSampling
3,3.405438317544793,ThompsonSampling
3,4.96404269107131,ThompsonSampling
3,3.5890788187321556,ThompsonSampling
3,2.99699264515628,ThompsonSampling
3,3.138562016037932,ThompsonSampling
3,3.49355785471632,ThompsonSampling
3,3.8425874447996664,ThompsonSampling
3,3.645906228705755,ThompsonSampling
3,3.4837430707257764,ThompsonSampling
3,3.427133952577567,ThompsonSampling
3,5.23281563872436,ThompsonSampling
2,3.142870312813562,ThompsonSampling
3,4.700403483636862,ThompsonSampling
3,3.181376550921845,ThompsonSampling
3,3.6590493847663703,ThompsonSampling
3,3.5812283669097695,ThompsonSampling
3,5.0349630540262655,ThompsonSampling
3,4.3662697938526875,ThompsonSampling
3,3.5709180315621714,ThompsonSampling
3,4.136859582530907,ThompsonSampling
3,4.224620849520424,ThompsonSampling
3,5.017920118575299,ThompsonSampling
3,3.0320086242490936,ThompsonSampling
3,4.1243003514007786,ThompsonSampling
3,4.882584190975689,ThompsonSampling
3,4.904206117518169,ThompsonSampling
3,3.948981182510305,ThompsonSampling
3,4.241321210101985,ThompsonSampling
3,3.835010761564184,ThompsonSampling
3,4.660175527629902,ThompsonSampling
3,2.6732671637600114,ThompsonSampling
0,1.5593686924770382,ThompsonSampling
3,3.6911399512586542,ThompsonSampling
3,3.192007441328221,ThompsonSampling
3,4.354712769053103,ThompsonSampling
3,2.8226893542642504,ThompsonSampling
3,3.6710149810801167,ThompsonSampling
3,4.35455103016576,ThompsonSampling
3,4.697844045521197,ThompsonSampling
3,4.731535388856575,ThompsonSampling
3,3.0502856551967783,ThompsonSampling
3,3.558271244044313,ThompsonSampling
3,4.476362495721663,ThompsonSampling
3,3.1125062174006946,ThompsonSampling
2,2.0685929556344878,ThompsonSampling
3,2.9129440514621847,ThompsonSampling
3,3.576015410524734,ThompsonSampling
3,5.428858708246901,ThompsonSampling
3,2.697760364044979,ThompsonSampling
3,5.897856128544667,ThompsonSampling
3,3.100472502053777,ThompsonSampling
3,5.2093795962631795,ThompsonSampling
3,3.7433132827713416,ThompsonSampling
3,4.197947061206758,ThompsonSampling
2,4.403695577939374,ThompsonSampling
